Tanggal,No. Reff,Keterangan,Kode Akun,Debit,Kredit
2025-01-04,REF-008,Penjualan Produk Tunai,41000,0,4500000
2025-01-04,REF-008,Penjualan Produk Tunai,11101,4500000,0
2025-01-10,REF-002,Setoran Modal Awal,11101,2200000,0
2025-01-10,REF-002,Setoran Modal Awal,31000,0,2200000
2025-01-16,REF-001,Pembelian Persediaan Beras Kredit,11301,3500000,0
2025-01-16,REF-001,Pembelian Persediaan Beras Kredit,21201,0,3500000
2025-01-17,REF-010,Biaya Admin Bank,53000,3700000,0
2025-01-17,REF-010,Biaya Admin Bank,11111,0,3700000
2025-01-22,REF-003,Setoran Modal Awal,31000,0,1600000
2025-01-22,REF-003,Setoran Modal Awal,11101,1600000,0
2025-01-23,REF-007,Setoran Modal Awal,11101,4300000,0
2025-01-23,REF-007,Setoran Modal Awal,31000,0,4300000
2025-01-29,REF-006,Setoran Modal Awal,11101,4800000,0
2025-01-29,REF-006,Setoran Modal Awal,31000,0,4800000
2025-01-30,REF-004,Setor Tunai ke Bank,11111,3000000,0
2025-01-30,REF-004,Setor Tunai ke Bank,11101,0,3000000
2025-01-31,REF-005,Penerimaan Pelunasan Piutang,11101,1000000,0
2025-01-31,REF-005,Penerimaan Pelunasan Piutang,11200,0,1000000
2025-01-31,REF-009,Bayar Listrik & Air,52300,3200000,0
2025-01-31,REF-009,Bayar Listrik & Air,11101,0,3200000
